PQ,Wat1,Wat2,Wat3,year,month,index
78637.718759,353.378601304,29.4781100442,34.6073092169,2017,11,139
78363.9688574,140.350634832,26.7304353991,24.2782752993,2017,11,140
81422.2640207,292.277533804,25.3822477203,28.3373346087,2017,11,141
83079.7153817,279.793942287,25.1917375815,29.0599799042,2017,11,142
83133.8572738,279.603499115,24.1394571256,30.6161428544,2017,11,143
85079.17587,279.662591769,28.0070156775,27.2564045843,2017,11,144
81832.1483256,279.905637003,26.3032727903,27.3770071437,2017,11,145
84321.5337422,279.807984233,24.6330286595,31.8892570871,2017,11,146
78001.5225839,279.639089987,26.0709390498,23.1325307763,2017,11,147
78733.5353032,279.246809641,25.7339742156,38.5921718984,2017,11,148
84111.5685978,279.17740941,26.0467136654,25.9039073678,2017,11,149
75526.6268669,279.305206858,25.2593196242,28.2728586223,2017,11,150
75537.4903265,278.485046653,29.8010291857,28.6986048928,2017,11,151
75241.8249314,283.854704367,24.6821011584,30.4480645544,2017,11,152
78190.5107584,332.925893785,24.6470212922,34.2392231261,2017,11,153
80450.3748791,243.22607913,24.1707377988,21.9607345197,2017,11,154
80124.8065007,200.408621208,24.2549958428,33.666499134,2017,11,155
80286.6945544,113.897419174,24.7202026441,30.903473091,2017,11,156
79693.3040965,293.712951692,29.3934300506,28.7257385629,2017,11,157
77849.3952662,305.229161857,23.3423531963,30.8679676866,2017,11,158
81389.1527071,354.5727769,23.3006161098,25.5772940852,2017,11,159
77939.6793875,354.826644338,23.7917493205,33.1308767439,2017,11,160
72063.0463631,317.792388065,23.0117628592,27.0002439871,2017,11,161
73185.7134208,297.159366464,23.6771133811,30.2455562644,2017,11,162
75647.4197738,350.25197971,23.3962704915,36.9069313258,2017,11,163
79695.1818037,157.279257849,21.6390448444,27.9136243395,2017,11,164
77562.1146729,113.635055611,20.898965984,29.6165545897,2017,11,165
79261.5671383,113.558212159,19.4336005517,27.9338570404,2017,11,166
80437.8203483,113.58559985,19.3738746312,25.186421189,2017,11,167
79064.3735838,201.018004856,23.8210153208,33.0924206309,2017,11,168
77720.1797233,261.792228666,20.4112093784,34.9846741296,2017,11,169
77004.4058486,281.351238318,20.2674134662,26.1784114576,2017,11,170
75194.7222615,218.112813345,20.3856936171,33.6211868584,2017,11,171
73523.6061172,131.795679624,19.9117603295,24.0735391762,2017,11,172
74518.7869478,327.077602492,19.2331540311,31.9687009862,2017,11,173
80594.0997761,224.90247605,25.6566826107,30.5185605591,2017,11,174
76111.6762685,113.577941341,20.6607825642,31.5224934073,2017,11,175
77225.3243926,258.993849326,19.542148248,24.0714241825,2017,11,176
83474.8835438,216.106338378,20.2508721151,33.0249265042,2017,11,177
78068.57089,238.775618719,20.5267317355,33.2032686165,2017,11,178
76451.7461661,113.433325684,19.9574039075,29.3155136272,2017,11,179
78462.8875045,227.707706404,23.941858099,30.2075574022,2017,11,180
73721.3921442,263.111216983,19.9533333856,24.5728685106,2017,11,181
74320.2167443,113.474855419,19.4299280389,34.8533681668,2017,11,182
