date,15m_indx,Wat1,Wat2,Wat3,PQ
11/5/2017,91,353.5,22.6,29,82.5
11/5/2017,92,194.1,24.5,31.1,80.1
11/5/2017,93,227.1,19.6,31.1,75.6
11/5/2017,94,113.2,19.3,33.3,71.6
11/5/2017,95,333.9,20,34.7,77.3
11/5/2017,96,357.2,20.5,35,73
11/6/2017,0,335,19.1,29.5,80.4
11/6/2017,1,132.7,20.1,35.1,78.1
11/6/2017,2,113.1,20.2,35,86.1
11/6/2017,3,243.6,24.9,28.8,80.2
11/6/2017,4,294.5,20.1,33,73.3
11/6/2017,5,207.6,20.8,33.1,73.9
11/6/2017,6,113.5,20.1,31.3,77.6
11/6/2017,7,113.3,19.6,29,78.1
11/6/2017,8,113.3,21.9,33,79.5
11/6/2017,9,113.3,22.3,32.8,82.8
11/6/2017,10,234.1,19.3,39.8,83.1
11/6/2017,11,358.8,21.6,27.1,82.9
11/6/2017,12,334.5,21.8,40.8,82.5
11/6/2017,13,222.8,20.4,29,80.9
11/6/2017,14,113.7,25.2,31.1,83.8
11/6/2017,15,205.2,19.3,29,81.8
11/6/2017,16,281.5,19.4,31.3,82.6
11/6/2017,17,113.6,19,33,72.1
11/6/2017,18,244.1,20.3,33.1,77.3
11/6/2017,19,243.6,23.4,27.1,76.8
11/6/2017,20,225.9,23.1,38.8,79
11/6/2017,21,356.9,20.8,31.2,83.2
11/6/2017,22,357.1,20.2,32.8,81
11/6/2017,23,365.2,19.2,33.2,82
11/6/2017,24,268.1,19.6,31,78.9
11/6/2017,25,180.4,25.5,27,83.4
11/6/2017,26,171.8,21.7,36.8,79.7
11/6/2017,27,355.1,20.9,31.2,79.9
11/6/2017,28,354.6,24.3,33,80.4
11/6/2017,29,173,23.1,38.8,74.7
11/6/2017,30,322.1,27.1,31.2,79.8
11/6/2017,31,182.6,25.6,30.4,76.2
11/6/2017,32,113.4,26.1,28.6,87
11/6/2017,33,237.5,25,40.7,90.8
11/6/2017,34,354.9,24.9,30.6,83.3
11/6/2017,35,190.9,25.7,32.6,86.6
11/6/2017,36,306.3,28.3,30.4,83.4
11/6/2017,37,258.6,25.3,34.8,90
11/6/2017,38,115.3,24.2,34.5,86.7
11/6/2017,39,120.8,23.9,28.9,85
11/6/2017,40,299.9,25.1,28.7,87.4
11/6/2017,41,135.1,31.2,32.2,89
11/6/2017,42,342.6,25.8,32.8,87.6
11/6/2017,43,279.2,24.5,34.2,76
11/6/2017,44,279.5,24.8,30.7,76.7
11/6/2017,45,279.5,24.9,35,84
11/6/2017,46,279.6,27.3,33,90.8
11/6/2017,47,279.7,27.4,30.4,90
11/6/2017,48,279.6,25.4,31.4,87.7
11/6/2017,49,279.5,25.1,32.2,87.2
11/6/2017,50,279.6,24.8,34.5,87.7
11/6/2017,51,279.5,24.2,30.9,90.4
11/6/2017,52,279.5,29.1,32.2,90.3
11/6/2017,53,279.7,25,30.4,86.2
11/6/2017,54,280,24.2,34.4,87.9
11/6/2017,55,279.9,24.6,35.9,84.2
11/6/2017,56,280,24.3,26.6,84.9
11/6/2017,57,279.9,26.8,36.1,85.3
11/6/2017,58,279.9,25.1,30.6,87.3
11/6/2017,59,280,22.9,38.8,87
11/6/2017,60,270.6,24.3,30.2,86.1
11/6/2017,61,261.3,24.7,36.3,93
11/6/2017,62,261.1,27.9,30.8,87.5
11/6/2017,63,288.9,30.1,34.8,88.2
11/6/2017,64,262,23.8,34.5,90.1
11/6/2017,65,255.4,23.7,31,88.1
11/6/2017,66,264.1,21.3,36.9,88.6
11/6/2017,67,212.5,19.2,35.2,88.4
11/6/2017,68,113.3,25.5,32.9,79
11/6/2017,69,311,21.3,36.9,80
11/6/2017,70,290.9,21.6,29.1,74.5
11/6/2017,71,326.8,20.5,37,84.9
11/6/2017,72,154.7,19.2,33,86.2
